A mu sigma m b NIV_flux
3.727515483587877 1493.178049481248 12.188394001044758 -0.0017898704459704128 5.351597823980852 113.88220700309802
1.2678907952388963 1495.3468718131164 41.431010413938026 0.0017731337331051583 4.872120809363622 131.67317509796393
2.6421799151161336 1494.8905061724993 10.628275138912898 -0.0006842641388168491 5.58138160638612 70.39067174355817
2.500364545913743 1496.2576207503512 11.135319677406635 -0.0020088832313496937 5.803297184449077 69.7904431207117
9.686776791267645 1496.02054325418 4.6732283693673695 -0.0023519121221528467 5.659938421796703 113.47135245512274
2.4217869532591143 1495.4010174846908 19.171480085371996 -0.001091570840206261 5.465426426683413 116.38084661947023
2.570184925458099 1493.3093353591773 14.281688145986541 -0.00048297978894968306 5.564226310314653 92.00975024751077
2.8966847810302503 1495.5150404160593 11.203986863581912 -0.0005327549108197489 5.412624298062146 81.3511623835497
2.7719593335848205 1495.9413444080856 10.452580558493018 -0.003162728947245835 5.57653166044509 72.62736907706788
1.7616558462513823 1494.4110093269117 16.815513457663325 -0.00048190935169141187 5.486466906229559 74.25421933369238
2.063661980774712 1491.884541897914 14.904163122820211 -0.0002834132567187382 5.333247036795619 77.09675384839986
3.035190803536066 1495.1133816979288 12.319450792448551 -0.002428429529539911 5.53877154661108 93.72755304910184
2.4338181099841063 1495.0780331525064 14.413795517138698 -0.0013734651502229013 5.307423005716186 87.9339149711591
7.7349575348639865 1495.9432441524143 5.058640969291889 -0.0008097844498952771 5.2283249174936195 98.08028630663895
6.524905613273223 1496.2188054218593 5.102046535052424 -0.001970618828487123 5.724063746475573 83.44658791804812
2.9066821523408026 1496.4868185168675 9.90550501730562 -0.0013137745350456419 5.496477766252949 72.17122891750813
2.588984212126026 1493.6865789500553 18.432694321168544 -0.0024485044539663747 5.343546696806779 119.6212006820399
2.0227147266923167 1491.5014902447535 59.18070978902526 0.003889826650357505 4.352679635251545 300.05767527551245
2.2832830123952683 1493.447817703676 9.090288423052971 -0.0029170455027384247 5.8708915921422875 52.026827322601534
3.0526197272946844 1495.455514969877 11.192520579441254 0.0007908847092121921 5.412280511597794 85.64273780300826
2.0700932964520673 1494.0142199678303 11.228877172441978 -0.002254579369444806 5.78314992834965 58.26613147637761
2.3878232981873095 1493.536138691252 10.736279406840115 -0.0025529326806616095 5.881802687044282 64.26076994823683
6.623528373699247 1495.6955494882682 5.24994469845494 -0.002606655622055365 5.705077348280242 87.16338021524818
2.5036016611321186 1495.5019954608922 11.324970693575214 0.00047358330866780797 5.320397404103238 71.07097150038159
16.147774252908203 1496.3613240420473 3.309884316284238 -0.0020284166960268676 5.606223207160168 133.97242500548796
1.555505819621502 1493.3206199986678 18.709679328059856 -0.0006327788854633058 5.602484056686166 72.9504404716505
6.541847135443702 1495.4159281310142 5.526213732148198 -0.003469100336019319 5.534277072253637 90.6187367183193
1.7455045380816876 1493.0975663407287 14.715668957404866 -0.0010601378452861523 5.800248859350699 64.38592299670867
2.279670034395178 1492.6030864447398 8.629638854638106 -0.00283208792013549 5.806592523937606 49.31221901267341
2.8018056177443658 1496.1350663318376 11.398542052906773 -0.0014499980259331064 5.44917261451343 80.05293178199544
4.625275278935277 1495.526729129191 5.713843795037271 -0.0003390818209816318 5.429488945101249 66.24542383998642
3.2668530864028784 1495.4757642205307 11.204450927951667 -0.0019060695758120506 5.707196991556063 91.7508544308633
2.9762276283078113 1493.7186273643504 9.464357263453563 -0.0011255737545910014 5.700357050593014 70.60690970965094
2.3197154281283447 1495.4669980509036 19.81783996437253 -0.0013682566262629124 5.377296310069603 115.23408617225208
2.770751434351542 1495.8182090154905 9.422630940384856 -0.0008167020232017914 5.521655272800776 65.44246994118
3.8447912977112937 1495.944372048635 8.82721291027426 -0.0009663865099550195 5.617011815739914 85.0719340810821
13.485775115315853 1496.3525921976914 4.02677024308608 -0.0020186427914854563 5.598468665141364 136.1202374555575
1.8183517979257144 1494.9666601266867 20.273119170626515 -0.001237640019721932 5.41942374013937 92.40349921391436
3.08530799765683 1494.5687691410517 13.047095487466253 -0.00042150482697038384 5.6922446835544225 100.90258674304053
3.353236812474446 1495.7645159156204 9.618436112262664 -0.000600863005074873 5.402166119898066 80.84601616459032
3.06440220874927 1495.929377789799 9.145664641541638 -0.002379003648863521 5.519564614887414 70.25075131124068
2.4430921111758037 1494.0603034921169 17.081899557535102 -0.0011903303512152243 5.530559687463277 104.60825062442188
2.9653224886046226 1492.7686672520301 10.64516128840771 -0.000789144378645997 5.426970068308572 79.12507075353193
2.3044861166230475 1496.2555389489212 6.902853185999691 -0.002892437409045964 5.688453355779472 39.87426280367331
3.5830789560263745 1495.5826247201867 8.86986444928676 -0.0018501456842803022 5.393556669381849 79.66421763836622
7.503111238854878 1495.7329486082979 5.629377798189224 -0.0008886575199245425 5.259152510961466 105.87458361859306
4.174058634118416 1495.9670822538178 6.080130982498171 -0.002848048494765573 5.772481057507353 63.61527587030917
2.4754010890343587 1494.1009047117818 12.04542358601298 -0.001896331180855105 5.6562189503400635 74.74077360938853
