A mu sigma m b CIII_flux
3.5596263865149584 1908.3484361739092 10.128399516296879 -0.0017014361586376264 3.5860812328499523 90.372266722638
4.456853272430646 1905.1655547376793 8.433994793896973 7.756847324804066e-05 3.6825060799353038 94.22184396955625
3.708986256387317 1906.41774320105 9.640615232753253 -0.002005610664382443 3.4769031793659098 89.62928011896835
3.955135434105942 1907.9606407809147 8.144175787782586 -0.008847961059503997 3.6423914453600252 80.7418010631367
4.619461214397598 1907.8063335434804 5.9003345666386995 -0.005196434360716951 3.573613625023611 68.32157939020756
4.293250207547324 1906.2713654431564 8.833629592411524 -0.001082194201336221 3.4333589665804785 95.06383239915114
4.461218842419023 1908.0866584424575 6.658549356551342 -0.004989776533376987 3.597798469850051 74.46000915905235
4.181644664669818 1906.3588159525384 7.9903913536648075 -0.005856558058577533 3.5681030810195855 83.75391382195622
3.6271235084769207 1907.7775621954113 10.66365704785301 -0.004715176189445158 3.56590731585696 96.95237397671512
4.044207846210551 1909.1271157970734 9.849405172379887 -0.005041794529224483 3.0974841460990055 99.84662853624795
5.608244298715343 1908.2010264884161 6.096120051048791 0.0013265172158914759 3.594331387291282 85.6979372709674
4.488287701698981 1907.1423417957706 8.254496238887311 0.002202758259509258 3.4288755207321286 92.86695287207608
4.80069838060252 1906.925238062174 8.385719273833947 -0.005162782542687723 3.7174892460143862 100.91010884475155
3.3341991941736877 1905.2992207662414 10.463733930618568 -0.0026936297725459147 3.36220286804799 87.45168149239619
4.601360683522042 1906.40519126375 8.693424605040375 0.0006838548804805073 3.384935123347787 100.2690969293719
3.70557752845256 1906.6576954477146 8.309414629089996 -0.0022787683436431283 3.6083677423880127 77.1820427084526
3.643062948342272 1906.394209315223 9.542721747142188 0.0025309736010280933 3.3408032516527406 87.14227027622135
4.608545878007611 1907.906328019217 5.996651831870929 -0.005270649890720675 3.673224226091787 69.27279067489962
4.183028649231344 1905.9840514039092 7.95679986418769 0.006032545842661582 3.5635730263706296 83.42941679334133
3.7228014520515402 1906.5072570796601 8.976689996677159 -0.005887525352610754 3.5373878201343683 83.7675929475793
3.7171336895974036 1906.9683555284423 8.3860420343397 -0.0075606870551008405 3.716057551507338 78.13671525830107
3.674468115711408 1907.473480237558 8.759091712563903 -0.0033738427590508727 3.5006985088398355 80.67583909136472
3.4513560156766565 1909.5136219061499 10.841095296031524 -0.009879799449032353 3.5505080277993537 93.78920536783478
4.504576394666195 1906.1216707500864 9.43178335171161 -0.00517466712468968 3.3698903779665454 106.49708174068267
4.124514384811089 1908.1650394645194 6.9067357873792625 -0.0032575814186910092 3.924805980800815 71.40614697061076
3.3406855106534525 1905.1491736727721 11.628949425744668 -0.0022602080754001285 3.6230494799560367 97.37915673318912
4.399267479892158 1908.9283970509546 7.457604343116544 -0.0014283180975948042 3.635174882635971 82.23745107077227
3.6402216146357214 1908.79017857466 11.942715683286838 -0.0009729892125185617 3.2801996368668487 108.97348790407536
3.9589244169594195 1906.1429983837743 8.550835110656122 -0.0009689099116128468 3.70353437277538 84.854655843715
3.8217494338208002 1907.6708559894855 7.4304608446711065 -0.0010360314324578818 3.8404572899666087 71.18162431310813
4.053739577538304 1909.184482547403 9.561525209594347 -0.005454014564972251 3.5358986132181838 97.1567443910957
3.546383573534201 1908.247024362601 7.857019285541525 0.003027966303163848 3.3797221150917234 69.84470059966554
3.7163334104528984 1909.157800462868 7.141670153915919 -0.001961822123804034 3.7434285597885513 66.52798839151747
3.9376358381125214 1905.817463558367 8.477574352300497 -0.0012730227644183897 3.699001353729543 83.67526389103706
3.645561090338011 1906.0737531949442 8.169949451662003 -0.001302958735582854 3.655283975241862 74.65754143942172
4.442421467024396 1907.7474263459355 5.869587553466285 -0.016734468590571587 3.8618180899186543 65.36078784093748
4.138376075100584 1907.6236059183384 7.438308861438646 -0.006913565534604614 3.615319568399783 77.16033357109121
3.723742051821969 1905.8374806447785 9.240033859239846 -0.0010559251260028482 3.5362568146832567 86.24681898165306
4.3853471020636885 1908.0354014160887 7.254530914659783 -0.0040034431033247955 3.514868797917599 79.74495982582363
4.376440975530555 1906.7478112265856 6.99325004463066 -0.004061044603001026 3.6030838650994723 76.71672708306549
3.3881053017660685 1908.6447819164605 11.995815817857736 -0.007038190324219798 3.570492642888796 101.877111472357
4.209798426289067 1906.1339538484183 8.395397057207209 -0.0017458347327754193 3.375516065781373 88.59158594055063
5.019982875522805 1908.640835664478 7.700094401227693 0.0024494673893666473 3.2607899618763643 96.89206667986255
4.617085682484589 1906.2493594725072 8.240832953858103 -0.0009928059573141653 3.6847002139230995 95.37377638870284
4.514578070681361 1905.9758207951606 9.072832227760426 -0.0026310935085404577 3.5211151435125587 102.67151772733297
3.215401515479133 1906.5994924712954 8.946598878023929 -0.0026568865268117702 3.794330061856357 72.10794394075144
4.457364710496984 1905.1337883964986 9.251841736740342 0.004646405934219365 3.487746823031582 103.37042447081132
