wave flux fluxerr
992.4253745585339 6.697698229289848e-21 8.668730881846925e-21
1007.3056946788396 -7.039693015144377e-21 8.580964605828544e-21
1022.2905205696428 -1.3513911239302793e-20 8.317251128000278e-21
1037.3674445187232 -2.674516583781797e-20 8.087343522569577e-21
1052.5242724879342 -7.073642065523128e-21 8.682357066415201e-21
1067.7491092244247 7.655186850053278e-21 8.618978484355535e-21
1083.030428909316 -3.581951519572476e-21 8.41302661110024e-21
1098.357254002751 3.0843354212985355e-21 8.282150600319238e-21
1113.7188229132446 1.0397786284682494e-20 8.110535471831186e-21
1129.1049228530699 8.860844857864788e-21 7.960383038943381e-21
1144.5059590821272 2.905490420608604e-21 7.922078126490175e-21
1159.912886391574 -2.09079818141937e-20 7.858242759411004e-21
1175.3172152012048 -1.2035012936013218e-20 7.715345709035008e-21
1190.711011244229 -7.243330949322042e-21 7.422908362398793e-21
1206.0868898364292 1.7141891854715437e-21 7.237058439491121e-21
1221.4380056490652 9.09284653856902e-21 7.996411204170699e-21
1236.7580388168542 5.272652768624223e-20 7.911399419697576e-21
1252.041013578731 8.771918064946117e-20 7.908687481240301e-21
1267.281727439488 7.44273787782451e-20 7.797082562242173e-21
1282.4753761337781 7.327955317903182e-20 7.63844524824675e-21
1297.617571477062 7.726760097839416e-20 7.39726515842324e-21
1312.7043486017808 7.249491381938947e-20 7.225432440767045e-21
1327.7321427561094 6.960566911873306e-20 7.176243179340123e-21
1342.6977660795076 8.68734022259032e-20 7.109602773180959e-21
1357.5983845996143 7.980635373814878e-20 7.002620763466795e-21
1372.4314956517974 7.943728935850801e-20 6.7409828307214855e-21
1387.194905881497 6.741670661330324e-20 6.145439127547607e-21
1401.8867099517054 5.1640226759338476e-20 5.857481128575984e-21
1416.5050016283328 6.356507255414999e-20 5.8089372127165626e-21
1431.048311472983 6.267789932840699e-20 5.739116052394224e-21
1445.5156916055973 5.699098053484681e-20 5.57789140863019e-21
1459.9061877704464 5.430620516669409e-20 5.4122849115383344e-21
1474.2190413077917 5.932183285080765e-20 5.7980457878886555e-21
1488.4536732184367 7.603597111934339e-20 5.8307873551852784e-21
1502.6092195993708 8.003866529165048e-20 5.571131739526058e-21
1516.684918526236 5.826033773691605e-20 5.508135824343418e-21
1530.6814323207116 5.981173771365493e-20 5.314970740817251e-21
1544.5987601341176 1.3586115640092127e-19 5.605954343942728e-21
1558.4359276455577 1.3459738460995446e-19 5.512601367108493e-21
1572.1933575267503 7.169494897864153e-20 5.086387548853465e-21
1585.8720810079928 5.658919816463043e-20 5.046830393084045e-21
1599.4710704701781 5.403272442533006e-20 5.054693697486496e-21
1612.9912491382267 4.468170724956084e-20 4.960593478585123e-21
1626.4337192909782 5.2016693620065695e-20 4.933122516255855e-21
1639.7969238076232 6.591560290923566e-20 4.943977431627911e-21
1653.0837865221304 6.639132422623965e-20 4.942790174291765e-21
1666.2924929311387 8.299459239547934e-20 4.945736033455947e-21
1679.425747607434 6.341627105460846e-20 4.7619778626976706e-21
1692.4821513042523 5.118251385078668e-20 4.5462189652753255e-21
1705.4644011983953 5.340214989171548e-20 4.541257433075996e-21
1718.3707476577385 5.119564943877716e-20 4.418844596425647e-21
1731.204321468919 5.656494208215393e-20 4.501062501373757e-21
1743.963652941104 5.677868064125512e-20 4.5270256338533366e-21
1756.6508634862173 5.039509369872011e-20 4.4414767527013915e-21
1769.266647302042 4.458333965759555e-20 4.362417266970019e-21
1781.8102608756944 2.757490431325916e-20 4.22154003729052e-21
1794.2841959299856 3.693347404703999e-20 4.259247404833712e-21
1806.6887375688952 4.754226321002239e-20 4.269845029761869e-21
1819.0233429609102 4.4861995854648706e-20 4.1746640177168146e-21
1831.2902831824838 3.5253609218573133e-20 4.0361588935958694e-21
1843.490210345724 3.605707275536411e-20 4.055343588374072e-21
1855.6230884880072 3.2111790058693275e-20 3.982866883980517e-21
1867.6895800875711 4.1427459999641275e-20 3.99832514856332e-21
1879.6911656236614 3.6493393966194987e-20 3.95698674766016e-21
1891.6285187961364 4.435356363108744e-20 3.9602464138138294e-21
1903.5023162355042 7.109647256007221e-20 3.999552387508888e-21
1915.3130108672253 6.083091763115454e-20 3.962895309615789e-21
1927.0608838884993 3.734944825002008e-20 3.767856931548941e-21
1938.747345786367 3.613878926163698e-20 3.735019328154776e-21
1950.3730755813924 3.1971160681184275e-20 3.821892264316757e-21
1962.679169938721 3.4494330609668795e-20 3.808310723973703e-21
1974.1816872976553 3.182059039094258e-20 3.8316481326028824e-21
1985.6255269637745 3.642800429595374e-20 3.740909502028672e-21
1997.0112717729596 2.8589402392896226e-20 3.509726616066602e-21
